abbrev,state,povertyRate,avgHHIncome,year,colorsID
RI,Rhode Island,12.3,62923,2017,31.59
SC,South Carolina,15.4,50675,2017,929.93
SD,South Dakota,12.8,56871,2017,3770.19
TN,Tennessee,15,51319,2017,1535.13
TX,Texas,14.6,59195,2017,6648.22
UT,Utah,9.69,68395,2017,453.39
VT,Vermont,10.8,58271,2017,180.14
VA,Virginia,10.6,71518,2017,1146.48
WA,Washington,11,70942,2017,3894.81
WV,West Virginia,18.5,43238,2017,138.89
WI,Wisconsin,11.3,59300,2017,3090.23
WY,Wyoming,10.8,61279,2017,349.69
AL,Alabama,16.8,49881,2018,1390.63
AK,Alaska,11.1,74912,2018,13.31
AZ,Arizona,14.1,59079,2018,1463.17
AR,Arkansas,16.8,47094,2018,3586.02
CA,California,12.8,75250,2018,16472.88
CO,Colorado,9.69,71949,2018,1851.33
CT,Connecticut,10.3,76366,2018,259.62
DE,Delaware,12.1,65467,2018,282.19
FL,Florida,13.6,55433,2018,3764.09
GA,Georgia,14.5,58634,2018,2860.84
HI,Hawaii,9,80527,2018,401.84
ID,Idaho,11.6,55524,2018,2078.89
IL,Illinois,12.1,65063,2018,8709.48
IN,Indiana,13,55725,2018,5050.23
IA,Iowa,11.1,60071,2018,11273.76
KS,Kansas,11.9,58150,2018,4589.01
KY,Kentucky,16.6,50189,2018,1889.15
LA,Louisiana,18.6,48021,2018,1914.23
ME,Maine,11.6,55579,2018,278.37
MD,Maryland,9.09,83076,2018,692.75
MA,Massachusetts,10,79817,2018,248.65
MI,Michigan,14,56640,2018,3164.16
MN,Minnesota,9.59,70295,2018,7192.33
MS,Mississippi,19.8,44740,2018,2170.8
MO,Missouri,13.1,54412,2018,3933.42
MT,Montana,12.9,55248,2018,1718
NE,Nebraska,11,59724,2018,7114.13
NV,Nevada,13.1,58740,2018,139.89
NH,New Hampshire,7.59,75322,2018,73.06
NJ,New Jersey,9.5,81777,2018,500.4
NM,New Mexico,18.8,47405,2018,751.58
NY,New York,13.6,67648,2018,1488.9
NC,North Carolina,14.1,53922,2018,3806.05
ND,North Dakota,10.6,65250,2018,3761.96
OH,Ohio,13.8,56155,2018,3979.79
OK,Oklahoma,15.5,51914,2018,1646.41
OR,Oregon,12.5,63168,2018,1794.57
PA,Pennsylvania,12.1,60891,2018,1969.87
RI,Rhode Island,12.8,63787,2018,31.59
SC,South Carolina,15.1,52449,2018,929.93
SD,South Dakota,12.9,57041,2018,3770.19
TN,Tennessee,15.1,52366,2018,1535.13
TX,Texas,14.9,60632,2018,6648.22
UT,Utah,9.09,71381,2018,453.39
VT,Vermont,10.6,60917,2018,180.14
VA,Virginia,10.6,72600,2018,1146.48
WA,Washington,10.3,74023,2018,3894.81
WV,West Virginia,17.3,44038,2018,138.89
WI,Wisconsin,11.1,60779,2018,3090.23
WY,Wyoming,10.6,62259,2018,349.69
AL,Alabama,15.6,51771,2019,1390.63
